Bucket,Objects,Size (Bytes),Size (Gigabytes),Bytes per Object,MB per Object,Has Cost Tag
ui.services.development.goodwaygroup.com,2324499,9,0.00,258277.67,0.26,yes
colt-service-staging-serverlessdeploymentbucket-1g4r4tn2udkz9,15502997,10,0.02,1550299.70,1.55,yes
authorizer-production-serverlessdeploymentbucket-zl40j4kskc4g,16277806,4,0.02,4069451.50,4.07,yes
us-east-1.mti-lib,0,0,0.00,0.00,0.00,yes
gw-python-packages.goodwaygroup.com,289272,41,0.00,7055.41,0.01,yes
gwg-snapper-development,21302954,329,0.02,64750.62,0.06,yes
athena-express-akiaien6sx-2019,0,0,0.00,0.00,0.00,yes
golive-logreader-staging-serverlessdeploymentbuck-1n5ngqiieflsw,27456017,10,0.03,2745601.70,2.75,yes
gfreitas-test-bucket-20171220,547019,1,0.00,547019.00,0.55,yes
gwdocker-state-store,784857,755,0.00,1039.55,0.00,yes
DART_UPLOAD,0,0,0.00,0.00,0.00,yes
bi-datalake-dev,439661524904,43944,439.66,10005041.07,10.01,yes
goodway-pypi,41420,5,0.00,8284.00,0.01,yes
goodway-moat,1819810406795,26295,1819.81,69207469.36,69.21,yes
test-data-temitope,16659559,17778,0.02,937.09,0.00,yes
gw-crs-assets,120813213628,2318930,120.81,52098.69,0.05,yes
clusters.k8s.gwdocker.com,0,0,0.00,0.00,0.00,yes
realvalue-staging,307955824208,9313,307.96,33067306.37,33.07,yes
gwg-syncsort,0,0,0.00,0.00,0.00,yes
gw-python-packages-logs,10118689,6887,0.01,1469.24,0.00,yes
affinity-goodway,5646167013,119,5.65,47446781.62,47.45,yes
creative-specs-productio-serverlessdeploymentbuck-tes48d8smoq2,61698865,10,0.06,6169886.50,6.17,yes
colt-service-production-serverlessdeploymentbucke-1axwu8g5s1lfw,13465000,8,0.01,1683125.00,1.68,yes
gwg-playground,23997,5,0.00,4799.40,0.00,yes
athena-express-akia6cuah7-2020,192517,36,0.00,5347.69,0.01,yes
bi-glue,813813,10721,0.00,75.91,0.00,yes
pixelservice-staging-serverlessdeploymentbucket-17xunc9p88zsg,75279607,10,0.08,7527960.70,7.53,yes
config-bucket-967710342214,2894688532,109703,2.89,26386.59,0.03,yes
gw-client-extracts,19693041737,4431,19.69,4444378.64,4.44,yes
gwg-data-science-secure,46,1,0.00,46.00,0.00,no
athena-express-akiajcwsmo-2020,0,0,0.00,0.00,0.00,yes
service-bid-factor-stagi-serverlessdeploymentbuck-1whda5ldz0xhf,26174452,10,0.03,2617445.20,2.62,yes
gwdocker-com-registry,4284668,106,0.00,40421.40,0.04,yes
mti-media-audit,606555883,8,0.61,75819485.38,75.82,yes
gw-crs-assets-inventory,11992079236,1140,11.99,10519367.75,10.52,yes
honeypot-pixel-hackathon,68,1,0.00,68.00,0.00,yes
gwg-cdn-assets,74993904632,82105,74.99,913390.23,0.91,yes
gw-cso-colt-logs,175910519,246440,0.18,713.81,0.00,yes
pixelservice-production-serverlessdeploymentbucke-gin8xb3pmyvg,74711274,10,0.07,7471127.40,7.47,yes
ui-unicorn-amplify-20190323061552-deployment,0,0,0.00,0.00,0.00,no
big-data-warehouse,166436605778174,25382688,166436.61,6557091.42,6.56,yes
athena-express-akiaien6sx-2020,30860,12,0.00,2571.67,0.00,yes
serviceauth-development-serverlessdeploymentbucke-11ughdl04wds,51558,2,0.00,25779.00,0.03,yes
gw-platform-logs,42844719692562,586660,42844.72,73031602.11,73.03,yes
emr-dl-logs,0,0,0.00,0.00,0.00,yes
gw-aliera-data,2896016,73,0.00,39671.45,0.04,yes
bwa-pixels,2522163514,4328093,2.52,582.74,0.00,yes
auth-staging-serverlessdeploymentbucket-1rz00bwhf5cc6,279893,10,0.00,27989.30,0.03,yes
goodwaygroup-segment-dashboards,82696077,70703,0.08,1169.63,0.00,yes
gw-prod-backup,39114976,37209,0.04,1051.22,0.00,yes
bentley-datalake,430729,178,0.00,2419.83,0.00,yes
snapper-staging-serverlessdeploymentbucket-8cvgzo8ck4qf,67499901,6,0.07,11249983.50,11.25,yes
ttd-mapping-service-lamb-serverlessdeploymentbuck-89n27g965c1q,3264510,2,0.00,1632255.00,1.63,yes
gwanalytics-sandbox,0,0,0.00,0.00,0.00,yes
gwg-ds-research,29,1,0.00,29.00,0.00,yes
aws-glue-scripts-967710342214-us-east-1,73151,15,0.00,4876.73,0.00,yes
golive-logreader-product-serverlessdeploymentbuck-1f5frlhmi7iov,5482620,2,0.01,2741310.00,2.74,yes
ttd-sync-dev-serverlessdeploymentbucket-12n55lj7eeegn,9297628,2,0.01,4648814.00,4.65,yes
mti-kpis,14202,133,0.00,106.78,0.00,yes
bi-log-files,45226989351,4927447,45.23,9178.58,0.01,yes
aws-logs-967710342214-us-east-1,282639069,15497,0.28,18238.31,0.02,yes
pixelservice-staging-serverlessdeploymentbucket-5bijfphh0oab,0,0,0.00,0.00,0.00,no
honeypot-pixel-test-v1-0-1,70,1,0.00,70.00,0.00,yes
art01,1105593890,1836509,1.11,602.01,0.00,yes
gwg-golive-v3-prod-lb-test,258895,406,0.00,637.67,0.00,yes
golive-assets,16272334497,1487942,16.27,10936.13,0.01,yes
aws-opsworks-cm-chef-server-3f7vvbyo2or9,0,0,0.00,0.00,0.00,yes
athena-express-akia6cuah7-2019,0,0,0.00,0.00,0.00,yes
gwg-sftp-gateway,4981041323,329,4.98,15139943.23,15.14,yes
gw-crs-assets-rep,0,0,0.00,0.00,0.00,no
signals-staging-serverlessdeploymentbucket-10ta3tp697yvk,21528671,8,0.02,2691083.88,2.69,yes
gwg-npm-registry,0,0,0.00,0.00,0.00,yes
pixel-service-ui-development,0,0,0.00,0.00,0.00,no
gw-redshift-to-rds,15098976628,138,15.10,109412874.12,109.41,yes
ui.services.staging.goodwaygroup.com,2194555,5,0.00,438911.00,0.44,yes
dw-email-alert-staging-serverlessdeploymentbucket-38wla6s7c4un,35785969,10,0.04,3578596.90,3.58,yes
mti-sandbox,800969189049,119972,800.97,6676301.05,6.68,yes
gw-deploy,109492810068,853,109.49,128362028.22,128.36,yes
gordon-pdfservice-48ed6b87-us-east-1-dev,0,0,0.00,0.00,0.00,yes
realvalue,184432125289,9637,184.43,19137918.99,19.14,yes
tectonic.us-east-1.goodwaygroup.com,650693,10,0.00,65069.30,0.07,yes
pixelservice-development-serverlessdeploymentbuck-18sp89d77gswe,29285542,4,0.03,7321385.50,7.32,yes
honeypot-pixel-test-v1-0-1-cf-logs,0,0,0.00,0.00,0.00,yes
ui.services.goodwaygroup.com,0,0,0.00,0.00,0.00,yes
mti-user-models,282921785,4838,0.28,58479.08,0.06,yes
mti-etl,3068926814669,119694,3068.93,25639771.54,25.64,yes
bi-gcp-datalake-dev,0,0,0.00,0.00,0.00,yes
gwg-snapper-staging,80324,19,0.00,4227.58,0.00,yes
snapper-staging-serverlessdeploymentbucket-fbmv0grzenww,135025034,12,0.14,11252086.17,11.25,yes
gw-ddl-legacy-assets,18911063248,248232,18.91,76183.02,0.08,yes
rubicon-goodway,0,0,0.00,0.00,0.00,yes
gwg-mti-logs,0,0,0.00,0.00,0.00,yes
aws-athena-query-results-967710342214-us-east-1,2334054705872,9128,2334.05,255702750.42,255.70,yes
snapper-production-serverlessdeploymentbucket-57u4c4gfgrqt,67500311,6,0.07,11250051.83,11.25,yes
gw-crm-files,4531849096,204,4.53,22214946.55,22.21,yes
pixel-service-ui-production,0,0,0.00,0.00,0.00,no
gw-client-extracts-dev,2267242,32,0.00,70851.31,0.07,yes
green-sheet-mapping-stag-serverlessdeploymentbuck-13ljtxk3pk7vr,0,0,0.00,0.00,0.00,yes
athena-express-akiajcwsmo-2019,0,0,0.00,0.00,0.00,yes
test-data-science-bucket,110,2,0.00,55.00,0.00,yes
cf-templates-1lst1hxzfyu4d-us-west-2,0,0,0.00,0.00,0.00,no
aws-athena-query-results-us-east-1-967710342214,0,0,0.00,0.00,0.00,yes
elasticbeanstalk-us-east-1-967710342214,13572715,153,0.01,88710.56,0.09,yes
bi-athena,0,0,0.00,0.00,0.00,yes
athena-dsmith,0,0,0.00,0.00,0.00,yes
creative-specs-staging-serverlessdeploymentbucket-1iy9t0i416qpu,71286068,10,0.07,7128606.80,7.13,yes
test-emr-output,19692029,12,0.02,1641002.42,1.64,yes
moat-goodway,21,1,0.00,21.00,0.00,yes
gdg-poc,0,0,0.00,0.00,0.00,yes
gwg-eks-backups,33555940,3516,0.03,9543.78,0.01,yes
gw-circleci-scripts,39,1,0.00,39.00,0.00,yes
bi-polk-qubole,3117512996,3,3.12,1039170998.67,1039.17,yes
goodway-pixels-production-logs,0,0,0.00,0.00,0.00,yes
staging-on-demand-lunchnlearn,0,0,0.00,0.00,0.00,yes
gw-loggly,0,0,0.00,0.00,0.00,yes
goodway-pixels-staging,2240,4,0.00,560.00,0.00,yes
gwg-snapper,0,0,0.00,0.00,0.00,yes
cpiqubole,0,0,0.00,0.00,0.00,yes
ui.goodwaygroup.com,510104,3,0.00,170034.67,0.17,yes
accountingservice-produc-serverlessdeploymentbuck-xdhjx879p507,0,0,0.00,0.00,0.00,yes
ui-unicorn-amplify-20190323064405-hostingbucket-dev,0,0,0.00,0.00,0.00,no
goodway-tableau,0,0,0.00,0.00,0.00,yes
gw-neptune,747772,10,0.00,74777.20,0.07,yes
datamart-scripts,0,0,0.00,0.00,0.00,yes
real-dev-serverlessdeploymentbucket-15edyvvdoggur,23597217,10,0.02,2359721.70,2.36,yes
dw-mti-env,1098,8,0.00,137.25,0.00,yes
aws-rm-deploy,514,8,0.00,64.25,0.00,yes
honeypot-pixel-hackathon-cf-logs,0,0,0.00,0.00,0.00,yes
gw-cso-colt-rep,0,0,0.00,0.00,0.00,no
bi-ddl-log,201130,51,0.00,3943.73,0.00,yes
aws-glue-temporary-967710342214-us-east-1,80799596,1,0.08,80799596.00,80.80,yes
aws-us-east-1-967710342214-test-app-temitope-pipe,0,0,0.00,0.00,0.00,yes
customer-dev-serverlessdeploymentbucket-1encut84udpoc,419618,10,0.00,41961.80,0.04,yes
ui-unicorn-amplify-20190323061858-hostingbucket-dev,0,0,0.00,0.00,0.00,no
bi-datalake,3376661720427,356214,3376.66,9479306.60,9.48,yes
gw-k8s-backup-gwdocker-com,208002108,2250,0.21,92445.38,0.09,yes
gwg-terraform,3425,1,0.00,3425.00,0.00,yes
athena-analytics-sandbox,0,0,0.00,0.00,0.00,yes
goodway-pixels-production,31684,90,0.00,352.04,0.00,yes
green-sheet-mapping-prod-serverlessdeploymentbuck-1wyg0z4brhdjm,3974406,2,0.00,1987203.00,1.99,yes
us.bucketexplorer.d5cb9d21fa6bb74c2d7aa52f693a011f702f8547,0,0,0.00,0.00,0.00,yes
gw-cso-colt,27478114,6278,0.03,4376.89,0.00,yes
gw-prod-backup-logging,7622496332,1300562,7.62,5860.92,0.01,yes
helloworld-dev-serverlessdeploymentbucket-qcjrb9hlcfj9,11683081,4,0.01,2920770.25,2.92,yes
athena-dsmith.s3-us-east-1.amazonaws.com,33012424,4,0.03,8253106.00,8.25,yes
gwdocker-com-builder,0,0,0.00,0.00,0.00,yes
dw-email-alert-productio-serverlessdeploymentbuck-watmsqlpgy1g,7263610,2,0.01,3631805.00,3.63,yes
test-jdog-lambda-bucket,27383,2,0.00,13691.50,0.01,yes
gwdocker-dev-state-store,7965,7,0.00,1137.86,0.00,yes
gwg-logger,1326383343289,652245,1326.38,2033566.13,2.03,yes
martin-goodway,135645945745,78938,135.65,1718385.89,1.72,yes
gw-platform-logs-dev,1314020456460,4266,1314.02,308021672.87,308.02,yes
gwg-datadog-logs-archive,61384670146,1056943,61.38,58077.56,0.06,yes
staples-reporting,778027938,72,0.78,10805943.58,10.81,yes
temp-g90-public-files,2003606,12,0.00,166967.17,0.17,yes
ui-unicorn-amplify-20190323061713-deployment,0,0,0.00,0.00,0.00,no
gw-software,228263932,1,0.23,228263932.00,228.26,yes
realvalue-dev-serverlessdeploymentbucket-14a3t2hmh5ijy,35429299,10,0.04,3542929.90,3.54,yes
moroch-live-ramp,0,0,0.00,0.00,0.00,yes
egnyte-watcher-service-s-serverlessdeploymentbuck-1dw8f23xfpegk,202082,2,0.00,101041.00,0.10,yes
gwg-service-email,0,0,0.00,0.00,0.00,yes
golive-logs,0,0,0.00,0.00,0.00,yes
staging-gwdocker-state-store,85323,58,0.00,1471.09,0.00,yes
censustract,785837582,41,0.79,19166770.29,19.17,yes
datamart-etl-logs,0,0,0.00,0.00,0.00,yes
snapper-development,0,0,0.00,0.00,0.00,yes
moroch,1607714055,299,1.61,5376970.08,5.38,yes
lambda-service-template-serverlessdeploymentbuck-f99t5iv1g8qy,638862,6,0.00,106477.00,0.11,yes
gwg-cloudtrail,70913379214,6303352,70.91,11250.11,0.01,yes
mti-lib,160218,38,0.00,4216.26,0.00,yes
qubole-airflow-scripts,350401,73,0.00,4800.01,0.00,yes
pixelservice-production-serverlessdeploymentbucke-bsgkobn5jkbv,47249371,10,0.05,4724937.10,4.72,yes
elasticbeanstalk-us-west-2-967710342214,0,0,0.00,0.00,0.00,no
dcm-uniques,2529843851,100,2.53,25298438.51,25.30,yes
gw-self-service-athena-results,0,0,0.00,0.00,0.00,yes
pixelupload-production-serverlessdeploymentbucket-2ble0nt9iv0d,0,0,0.00,0.00,0.00,yes
gwgcredentials,0,0,0.00,0.00,0.00,yes
cloud9-967710342214-sam-deployments-us-east-1,4559671,3,0.00,1519890.33,1.52,yes
gwdocker-com-database,45800477,263,0.05,174146.30,0.17,yes
bpa-pixel-logs,10333948265,53335,10.33,193755.48,0.19,yes
mti-tmp,17738956687,185320,17.74,95720.68,0.10,yes
accountingservice-stagin-serverlessdeploymentbuck-1q70kegm3tav6,94084588,10,0.09,9408458.80,9.41,yes
campaign-engine-placement-upload-template,9458,1,0.00,9458.00,0.01,yes
dartlogs,872416398,103503,0.87,8428.90,0.01,yes
codepipeline-us-east-1-71979612406,840661896,93,0.84,9039375.23,9.04,yes
authorizer-staging-serverlessdeploymentbucket-1tmg5k1vmrg1e,42165782,10,0.04,4216578.20,4.22,yes
snapper-staging-serverlessdeploymentbucket-g53hhnfjhn50,22504225,2,0.02,11252112.50,11.25,yes
goodway-pixels-staging-logs,571522731,1273,0.57,448957.37,0.45,yes
cf-templates-1lst1hxzfyu4d-us-east-1,1199480,209,0.00,5739.14,0.01,yes
bi-gcp-datalake,3294759,4134,0.00,796.99,0.00,yes
ttd-reds-target,0,0,0.00,0.00,0.00,yes
goodbucket,7985963437,923,7.99,8652181.41,8.65,yes
gw-cf-templates,46711,26,0.00,1796.58,0.00,yes
golive-assets-uswest1,0,0,0.00,0.00,0.00,no
golive-v2-assets,148578369387,1676864,148.58,88604.90,0.09,yes
bi-data-models,59952,28,0.00,2141.14,0.00,yes
node-sim-secure,9796,4,0.00,2449.00,0.00,yes
pixel-service-ui-staging,0,0,0.00,0.00,0.00,no
dev-on-demand-ll,0,0,0.00,0.00,0.00,yes
lambda-service-template-serverlessdeploymentbuck-9whde518dzvu,1054912,10,0.00,105491.20,0.11,yes
goodway-dashboards-kinesis-stream,0,0,0.00,0.00,0.00,yes
dw-etl,11301966091,107,11.30,105625851.32,105.63,yes
snowflakepocdw,288288765440,3173,288.29,90856843.82,90.86,yes
bpa-pixel-logs-staging,0,0,0.00,0.00,0.00,no
on-demand-lunchnlearn,13965,2,0.00,6982.50,0.01,yes
bi-credentials,114607151,238964,0.11,479.60,0.00,yes
gw-ddl-assets,22702490375,257124,22.70,88293.94,0.09,yes
